"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk","LoanOriginalAmount_bins"
"22582","2A1F35913837633234C8973","36",2013-10-22,9500,306.09,10,"Score >= 9","5K-9.9K"
"22638","5B123564908010430890585","36",2013-01-02,15000,558.91,9,"Score >= 9","10K-14.9K"
"22687","2BE63575872579706B1A56B","36",2013-04-08,4000,140.61,10,"Score >= 9","0K-4.9K"
"22699","17CB358665153072686C56E","60",2013-08-27,4000,111.82,2,"1 <= Score <= 2","0K-4.9K"
"22818","95AF3586774673605F956FD","60",2013-08-28,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"22831","FBBD3579128270958022503","36",2013-06-03,15000,486.41,9,"Score >= 9","10K-14.9K"
"22840","76123591138209714A18BA6","36",2013-10-09,7500,241.65,9,"Score >= 9","5K-9.9K"
"22878","442C3593871680781B0C0AF","36",2013-11-18,9000,282.82,9,"Score >= 9","5K-9.9K"
"22914","D3EF3591586469746E43ACE","36",2013-10-07,5000,155.9,9,"Score >= 9","0K-4.9K"
"22977","058B35874668760314CB661","36",2013-08-26,2000,63.13,10,"Score >= 9","0K-4.9K"
"22988","64913592698404179A3265C","36",2013-11-13,4000,136.69,10,"Score >= 9","0K-4.9K"
"23011","2BF035890102523629FFEFB","36",2013-09-27,12000,386.64,10,"Score >= 9","10K-14.9K"
"23032","96153596593182134573CB4","36",2013-12-31,10000,331.62,10,"Score >= 9","5K-9.9K"
"23034","A6723569548467282701BC7","60",2013-02-08,10000,279.55,2,"1 <= Score <= 2","5K-9.9K"
"23154","FCCC3594765346637B4DD1F","36",2013-11-19,12000,374.16,10,"Score >= 9","10K-14.9K"
"23272","6B4E3590676033858C6665C","36",2013-10-15,6000,221.46,9,"Score >= 9","5K-9.9K"
"23281","8EB235726362880765E462A","36",2013-03-20,5000,163.43,9,"Score >= 9","0K-4.9K"
"23324","2F0E3578521207302526AA9","36",2013-05-22,3000,92.17,10,"Score >= 9","0K-4.9K"
"23333","2947356823596799871E7FB","60",2013-01-16,13000,373.83,2,"1 <= Score <= 2","10K-14.9K"
"23334","294D3574618269723AC4BF4","60",2013-04-18,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"23380","B73035979093291304372BF","36",2013-12-31,8000,263.39,10,"Score >= 9","5K-9.9K"
"23412","4D1B3589947844616AB6C4B","60",2013-10-08,10000,309.49,2,"1 <= Score <= 2","5K-9.9K"
"23522","71DC358658624851282CB7E","36",2013-08-15,3000,104.86,9,"Score >= 9","0K-4.9K"
"23589","76503571340589810B9C254","60",2013-02-21,9000,251.6,2,"1 <= Score <= 2","5K-9.9K"
"23692","766535893428085831CCD14","36",2013-09-24,7000,218.26,9,"Score >= 9","5K-9.9K"
"23765","77643595274689808FC826E","36",2013-11-29,9500,296.34,11,"Score >= 9","5K-9.9K"
"23781","B9E53565757619244060305","36",2013-06-26,15000,463.09,10,"Score >= 9","10K-14.9K"
"23853","308735881600226603C7F70","36",2013-08-29,6000,199.37,10,"Score >= 9","5K-9.9K"
"23862","10ED3598011219045F41FC4","36",2013-12-24,12000,386.64,9,"Score >= 9","10K-14.9K"
"23873","83973588524223680A69AA1","60",2013-09-25,10000,296.39,2,"1 <= Score <= 2","5K-9.9K"
"23876","BA3E35840823400114ED97F","36",2013-07-31,9000,289.31,10,"Score >= 9","5K-9.9K"
"23901","055E3595952270482B44B55","36",2013-12-19,15000,467.9,10,"Score >= 9","10K-14.9K"
"23968","7A5E3590451051262A0B663","36",2013-10-28,9000,280.62,11,"Score >= 9","5K-9.9K"
"24065","302535919038306316EDF60","60",2013-10-21,7000,220.02,2,"1 <= Score <= 2","5K-9.9K"
"24078","6A633570160252628D0D4C5","36",2013-02-20,7500,231.54,10,"Score >= 9","5K-9.9K"
"24120","622535941185318298B33EA","60",2013-11-07,7000,197.74,2,"1 <= Score <= 2","5K-9.9K"
"24126","6EA73597293558521DE0EE3","36",2013-12-30,11500,360.85,10,"Score >= 9","10K-14.9K"
"24192","12743579990164478BE6A32","60",2013-06-20,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"24351","2E603595340114580C2DEE9","36",2013-12-16,2800,94.53,11,"Score >= 9","0K-4.9K"
"24379","31023588046696967E5CCBB","36",2013-08-22,10000,339.79,10,"Score >= 9","5K-9.9K"
"24392","BB113584650739511796D21","60",2013-08-01,4000,124.76,2,"1 <= Score <= 2","0K-4.9K"
"24400","772435756832874546C1C9A","60",2013-04-05,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"24424","682E35821974970611D7D1D","60",2013-06-26,13500,402.52,2,"1 <= Score <= 2","10K-14.9K"
"24445","FC933583716964661293780","36",2013-07-10,4000,128.58,9,"Score >= 9","0K-4.9K"
"24446","FC9335857577231372FDACE","60",2013-08-13,4000,119.27,2,"1 <= Score <= 2","0K-4.9K"
"24489","312A35855350720742028A6","36",2013-08-21,15000,463.09,10,"Score >= 9","10K-14.9K"
"24501","7FB3357773530891174A47E","60",2013-05-10,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"24539","65CE358065764807922E235","60",2013-06-12,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"24572","1215357769486461981A7E4","60",2013-05-21,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"24574","D8BF359618027629379B983","36",2013-12-24,15000,479.09,9,"Score >= 9","10K-14.9K"
"24576","D8C335942244777565C9D71","36",2013-11-15,12500,380.56,11,"Score >= 9","10K-14.9K"
"24615","59F635863512673793FE2D4","60",2013-08-08,4000,115.82,2,"1 <= Score <= 2","0K-4.9K"
"24630","754B3581105289725C2AAF9","60",2013-06-27,10000,298.16,2,"1 <= Score <= 2","5K-9.9K"
"24763","A7D73585093481714FD92E6","36",2013-08-09,10000,308.73,10,"Score >= 9","5K-9.9K"
"24814","BBA73597368474445E80939","36",2013-12-11,15000,506.42,10,"Score >= 9","10K-14.9K"
"24853","063235813788130518E38C9","36",2013-06-17,7000,230.93,9,"Score >= 9","5K-9.9K"
"25050","071B3588029469689AB2799","36",2013-09-16,15000,491.01,10,"Score >= 9","10K-14.9K"
"25067","2DCF3581825444307FB8F9E","60",2013-06-25,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"25095","11B13593825208562254E38","36",2013-11-25,13000,398.97,11,"Score >= 9","10K-14.9K"
"25125","6DF73584719509568FFF79A","60",2013-08-14,4500,136.66,2,"1 <= Score <= 2","0K-4.9K"
"25179","2ED1358190965257052EF6A","60",2013-07-03,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"25222","5F533593885056083DDA541","36",2013-11-01,10000,336.89,9,"Score >= 9","5K-9.9K"
"25240","070B3576799527586DFBEFC","60",2013-05-09,9000,260.59,2,"1 <= Score <= 2","5K-9.9K"
"25263","C3853595836928487D3CCA8","36",2013-11-27,15000,497.43,10,"Score >= 9","10K-14.9K"
"25279","134135831404176880593BF","60",2013-07-26,2000,65.1,2,"1 <= Score <= 2","0K-4.9K"
"25283","13B93571535673551F6FAFB","36",2013-02-13,2000,65.37,9,"Score >= 9","0K-4.9K"
"25284","13BA3595305821013497D5B","36",2013-11-15,6000,210.5,10,"Score >= 9","5K-9.9K"
"25351","06D835926804897386D946D","36",2013-10-23,10000,358.02,9,"Score >= 9","5K-9.9K"
"25373","131E35864013510248D1C30","36",2013-08-19,12000,370.47,10,"Score >= 9","10K-14.9K"
"25445","2AFB35809522531591A1F2F","36",2013-06-11,5000,155.74,10,"Score >= 9","0K-4.9K"
"25448","13323588789085423B15659","36",2013-10-02,6000,196.4,9,"Score >= 9","5K-9.9K"
"25547","2B503577213076032D6E890","60",2013-05-09,4000,131.78,2,"1 <= Score <= 2","0K-4.9K"
"25564","068235745692584534568D6","36",2013-03-19,5000,163.43,9,"Score >= 9","0K-4.9K"
"25624","78B33586495229793F0D6E6","36",2013-08-15,5000,157.81,10,"Score >= 9","0K-4.9K"
"25709","C5BE3593465036962ADC08D","60",2013-11-06,8000,225.98,2,"1 <= Score <= 2","5K-9.9K"
"25720","A7963598888605379717426","60",2013-12-31,2000,56.43,2,"1 <= Score <= 2","0K-4.9K"
"25794","7EF7359083378798138FFE8","36",2013-10-08,2000,67.86,10,"Score >= 9","0K-4.9K"
"25867","C89D35917951615578EE4F6","36",2013-11-26,15000,456.67,11,"Score >= 9","10K-14.9K"
"25894","30A53566793911964C99FFE","36",2013-01-11,5000,160.73,9,"Score >= 9","0K-4.9K"
"25922","C6093589281777977A2EE1C","36",2013-09-24,10000,322.2,11,"Score >= 9","5K-9.9K"
"25934","CF073589557463638C3F3BB","36",2013-09-27,10000,316.56,9,"Score >= 9","5K-9.9K"
"26012","62A93579201271848EF4406","60",2013-05-21,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"26031","C67A358324180079568DD31","36",2013-07-10,5000,157.81,9,"Score >= 9","0K-4.9K"
"26126","90EB35915766452432BDF84","36",2013-10-09,15000,491.01,11,"Score >= 9","10K-14.9K"
"26218","152835950989655652CA7B6","36",2013-11-19,10000,322.2,9,"Score >= 9","5K-9.9K"
"26357","2F1D3586569876887E1B09D","60",2013-09-17,9000,260.59,2,"1 <= Score <= 2","5K-9.9K"
"26377","667C3598314869427D193AB","36",2013-12-30,10000,313.78,9,"Score >= 9","5K-9.9K"
"26403","6C593585515478589A6BA88","36",2013-08-01,9000,341.81,9,"Score >= 9","5K-9.9K"
"26452","2F3E3589411875718636873","36",2013-09-20,15000,512.59,10,"Score >= 9","10K-14.9K"
"26480","13D33583633681753E23615","36",2013-08-01,10000,379.79,9,"Score >= 9","5K-9.9K"
"26529","9EF8357955129372153E866","36",2013-06-10,12000,368.66,10,"Score >= 9","10K-14.9K"
"26590","BDF535948833759720342C1","36",2013-11-19,15000,501.73,10,"Score >= 9","10K-14.9K"
"26693","BCD935869243834652FCE2F","36",2013-08-27,8000,257.16,10,"Score >= 9","5K-9.9K"
"26743","9A183575906755923C45E82","36",2013-04-11,4000,130.75,9,"Score >= 9","0K-4.9K"
"26784","157C3588016767315E96977","36",2013-09-11,11500,384.66,9,"Score >= 9","10K-14.9K"
"26903","45913597685742470EC6A8E","36",2013-12-26,9000,294.61,11,"Score >= 9","5K-9.9K"
"26906","66C93592541077915B4998D","60",2013-11-07,10000,267.45,2,"1 <= Score <= 2","5K-9.9K"
"26908","5BD43573219954240EF1378","36",2013-03-12,8000,261.49,9,"Score >= 9","5K-9.9K"
"27061","2F973590166873683C4A9F2","36",2013-10-18,8000,271.44,10,"Score >= 9","5K-9.9K"
"27111","595635910974482968FB7A5","36",2013-11-04,8500,265.03,10,"Score >= 9","5K-9.9K"
"27145","A9423594400073920EB425E","36",2013-11-18,7000,235.82,10,"Score >= 9","5K-9.9K"
"27148","8B5135862010421469DFCD3","60",2013-08-19,3500,106.29,2,"1 <= Score <= 2","0K-4.9K"
"27179","349D3587495831350F0F648","36",2013-11-27,14000,454.31,11,"Score >= 9","10K-14.9K"
"27281","745C35914364832503DD23E","36",2013-10-21,10000,325.02,10,"Score >= 9","5K-9.9K"
"27298","143B3591657606252CBDC04","36",2013-10-09,9000,280.62,10,"Score >= 9","5K-9.9K"
"27350","7D183595331859465C9469C","36",2013-11-29,12000,371.4,9,"Score >= 9","10K-14.9K"
"27385","749B35913628308714DE4F0","36",2013-10-07,2500,76.11,11,"Score >= 9","0K-4.9K"
"27433","569F358222933809253EDF4","60",2013-07-05,6000,168.59,2,"1 <= Score <= 2","5K-9.9K"
"27452","7D373580726054530C8306A","36",2013-07-08,12000,378.75,9,"Score >= 9","10K-14.9K"
"27469","150E35950103065529BAE90","36",2013-12-05,5000,156.89,10,"Score >= 9","0K-4.9K"
"27472","143F35915480322115CC389","60",2013-12-20,10000,256.12,2,"1 <= Score <= 2","5K-9.9K"
"27529","C191358192803066997287A","36",2013-06-26,10000,321.45,10,"Score >= 9","5K-9.9K"
"27533","3514358847991633987973E","36",2013-09-16,2000,64.44,11,"Score >= 9","0K-4.9K"
"27545","121835960665726728DF04B","36",2013-12-04,5000,162.25,10,"Score >= 9","0K-4.9K"
"27568","6CEC3594515615230B03C6E","36",2013-11-27,3500,116.07,9,"Score >= 9","0K-4.9K"
"27581","01093590501696946D39770","36",2013-09-25,5000,155.9,11,"Score >= 9","0K-4.9K"
"27615","15323590950007570581AD6","36",2013-10-23,5000,155.9,9,"Score >= 9","0K-4.9K"
"27627","9295358135246105512D21D","36",2013-06-18,5000,166.14,10,"Score >= 9","0K-4.9K"
"27650","638F357264549710416F390","36",2013-03-19,2000,64.85,9,"Score >= 9","0K-4.9K"
"27655","B4353570972294119099375","60",2013-02-27,4000,124.76,2,"1 <= Score <= 2","0K-4.9K"
"27659","B442357692178456454BB27","60",2013-05-06,4000,124.76,2,"1 <= Score <= 2","0K-4.9K"
"27685","0131357893089957482DE83","60",2013-06-11,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"27693","368A35739781803105D168A","60",2013-04-02,4000,123,2,"1 <= Score <= 2","0K-4.9K"
"27728","B52E3575893188932A7FEEA","36",2013-04-23,10000,313.32,9,"Score >= 9","5K-9.9K"
"27781","013635919372205523D3A27","36",2013-10-23,15000,467.7,11,"Score >= 9","10K-14.9K"
"27796","304835992416126925BC9AB","36",2013-12-31,5000,154.75,10,"Score >= 9","0K-4.9K"
"27913","EF8C35964676019939B1330","60",2013-12-31,6000,169.28,2,"1 <= Score <= 2","5K-9.9K"
"27949","9D4B358236471864701FA9A","60",2013-06-27,2000,65.89,2,"1 <= Score <= 2","0K-4.9K"
"27981","6DE035933726025750F5E08","36",2013-10-29,15000,483.3,9,"Score >= 9","10K-14.9K"
"28044","9D5A35951386953247750C3","60",2013-12-10,15000,389.52,2,"1 <= Score <= 2","10K-14.9K"
"28084","018E3572377384174BDD1D0","36",2013-02-25,6000,187.99,9,"Score >= 9","5K-9.9K"
"28148","D0B43572303373222A3B765","60",2013-03-20,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"28212","C36C3576863312021C55592","60",2013-04-23,15000,434.31,2,"1 <= Score <= 2","10K-14.9K"
"28214","C37F35972553590757ADAEE","36",2013-12-24,11500,378.62,11,"Score >= 9","10K-14.9K"
"28273","2CE935926825807531D0AA4","60",2013-10-28,10000,269.69,2,"1 <= Score <= 2","5K-9.9K"
"28320","153435939487505789171E6","36",2013-11-15,10000,334.49,10,"Score >= 9","5K-9.9K"
"28378","7A7C359207532931836B0A5","36",2013-10-18,5500,171.49,10,"Score >= 9","5K-9.9K"
"28391","3502359466854349246662D","36",2013-11-14,5500,180.04,9,"Score >= 9","5K-9.9K"
"28402","70443572983401910B20EA8","60",2013-03-15,10000,307.51,2,"1 <= Score <= 2","5K-9.9K"
"28403","704835934498946949D3ACA","36",2013-11-13,14000,498.79,10,"Score >= 9","10K-14.9K"
"28449","BD2D3584016623476D723DB","36",2013-07-29,10000,304.4,10,"Score >= 9","5K-9.9K"
"28490","7A9C3575355736650CEAF88","36",2013-04-19,4000,172.76,10,"Score >= 9","0K-4.9K"
"28505","3540357426767381433D926","36",2013-04-18,9000,294.18,9,"Score >= 9","5K-9.9K"
"28572","2E8A35949324327139B83C5","36",2013-11-27,10000,324.51,10,"Score >= 9","5K-9.9K"
"28684","32D23576246649080F769A1","60",2013-04-29,4000,123,2,"1 <= Score <= 2","0K-4.9K"
"28719","2ED035729989944639C4C1D","60",2013-04-01,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"28775","C36735843873855074B8154","36",2013-08-01,10000,315.63,10,"Score >= 9","5K-9.9K"
"28779","C37F35672384115127C1263","60",2013-01-11,4000,128.48,2,"1 <= Score <= 2","0K-4.9K"
"28790","32D835778361741790FF2E9","36",2013-05-20,5800,186.44,10,"Score >= 9","5K-9.9K"
"28817","2EEB3568132650652E532A5","36",2013-01-25,5000,157.58,10,"Score >= 9","0K-4.9K"
"28875","BED43598015998121A5C055","60",2013-12-18,10000,256.12,2,"1 <= Score <= 2","5K-9.9K"
"28958","16D3357830616928623608A","60",2013-05-09,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"29097","C0AA3581403291171F0CEBF","36",2013-06-18,10000,304.4,10,"Score >= 9","5K-9.9K"
"29135","A04D359395971402395E196","36",2013-11-07,4000,128.11,10,"Score >= 9","0K-4.9K"
"29144","37C73586165859677B2F574","60",2013-08-07,10000,303.68,2,"1 <= Score <= 2","5K-9.9K"
"29145","37D63593366660694D5D817","60",2013-11-26,10000,267.45,2,"1 <= Score <= 2","5K-9.9K"
"29182","C39235774556954961360A2","60",2013-05-13,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"29242","37F83594328918586086442","36",2013-11-21,5400,164.4,11,"Score >= 9","5K-9.9K"
"29287","82FD35914405776692938D4","36",2013-10-21,3500,109.13,11,"Score >= 9","0K-4.9K"
"29304","A3DA358432009241823CAC4","60",2013-08-01,4000,124.76,2,"1 <= Score <= 2","0K-4.9K"
"29413","17843595769935482F6B5C0","36",2013-12-10,2000,61.11,11,"Score >= 9","0K-4.9K"
"29415","178B357158845428910A8DC","36",2013-05-01,5500,178.35,9,"Score >= 9","5K-9.9K"
"29433","B87135921804575315F243B","36",2013-10-23,6725,209.68,11,"Score >= 9","5K-9.9K"
"29448","BF7035936517977911B316E","60",2013-11-08,4000,107.88,2,"1 <= Score <= 2","0K-4.9K"
"29481","FC4D3585466979643C61954","36",2013-08-23,14000,436.07,9,"Score >= 9","10K-14.9K"
"29495","6C983592013864463E896B7","36",2013-11-07,8000,249.44,10,"Score >= 9","5K-9.9K"
"29497","57DE3581285821937CAF4AC","36",2013-08-07,2000,63.13,9,"Score >= 9","0K-4.9K"
"29527","349B357925556539514D6F9","60",2013-06-04,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"29529","349D3587495831350F0F648","36",2013-11-27,14000,454.31,9,"Score >= 9","10K-14.9K"
"29592","164735717767646262998C9","36",2013-03-05,15000,482.18,9,"Score >= 9","10K-14.9K"
"29677","AE7C3595415640691C67673","36",2013-12-16,2000,61.9,11,"Score >= 9","0K-4.9K"
"29775","34933581030833343E3EDD5","60",2013-07-01,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"29781","15873581898799102426BD3","60",2013-07-01,15000,447.24,2,"1 <= Score <= 2","10K-14.9K"
"29793","E8BF35930843087530336C6","36",2013-11-20,15000,474.83,10,"Score >= 9","10K-14.9K"
"29798","C9A93597704814746467D3C","36",2013-12-16,10000,304.45,10,"Score >= 9","5K-9.9K"
"29814","64A03594211118196F02317","36",2013-11-08,4000,130.94,10,"Score >= 9","0K-4.9K"
"29833","94A53593715482536BA0460","60",2013-11-15,10000,291.7,2,"1 <= Score <= 2","5K-9.9K"
"29888","331735898840394282D101F","36",2013-09-23,2000,67.86,11,"Score >= 9","0K-4.9K"
"29920","476535907248722717AC1B4","36",2013-10-11,9000,297.17,9,"Score >= 9","5K-9.9K"
"29940","177F3591760548337AAEDF1","36",2013-10-23,13000,416.37,10,"Score >= 9","10K-14.9K"
"29942","C4BB3591163381639B99D3B","60",2013-10-04,10000,296.39,2,"1 <= Score <= 2","5K-9.9K"
"30031","47833585818598372C9A136","36",2013-08-13,9500,305.38,9,"Score >= 9","5K-9.9K"
"30068","82D635970054486964CAAD9","36",2013-12-18,3000,97.35,9,"Score >= 9","0K-4.9K"
"30148","3116358764266161910FEF9","60",2013-08-27,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"30187","E1BC35829613275818F982F","60",2013-07-17,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"30204","99EB35966454072147AFE89","36",2013-12-17,7500,237.77,10,"Score >= 9","5K-9.9K"
"30213","198235926030821664B5619","36",2013-10-16,5000,161.1,11,"Score >= 9","0K-4.9K"
"30215","19953573492757555EDBE6F","60",2013-03-13,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"30240","71AC35876510162076866A5","60",2013-09-09,3500,109.17,2,"1 <= Score <= 2","0K-4.9K"
"30257","315835877650547423B2B10","36",2013-09-25,7000,229.14,10,"Score >= 9","5K-9.9K"
"30264","D47E3592828104334FF8D36","36",2013-11-27,13000,412.13,10,"Score >= 9","10K-14.9K"
"30320","AFD5359485823447068ECDA","36",2013-11-29,2000,63.88,10,"Score >= 9","0K-4.9K"
"30370","D4A835935376294376ABA8F","36",2013-12-09,13000,431.1,9,"Score >= 9","10K-14.9K"
"30371","D4AB3574206701967CFC7E0","60",2013-03-26,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"30375","D4B23595455570009C5E41A","36",2013-12-05,2000,63.88,9,"Score >= 9","0K-4.9K"
"30389","4D8D357301101526022DFE1","36",2013-03-25,15000,482.18,9,"Score >= 9","10K-14.9K"
"30498","587535809968764315EF803","36",2013-06-19,5000,163.43,9,"Score >= 9","0K-4.9K"
"30536","2E4135942338729616CBB84","36",2013-12-18,2000,68.7,9,"Score >= 9","0K-4.9K"
"30541","2E603572507357816C768FC","60",2013-03-01,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"30632","2E7F3574116485918BF5B77","36",2013-04-26,15000,595.76,9,"Score >= 9","10K-14.9K"
"30713","C7AC3570908617957279737","36",2013-02-12,15000,469.98,10,"Score >= 9","10K-14.9K"
"30723","48273576809513869DADF60","60",2013-04-17,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"30724","482B3591121785122241362","60",2013-10-16,15000,404.54,2,"1 <= Score <= 2","10K-14.9K"
"30849","33C73566257357798624520","36",2013-01-08,5000,182.37,10,"Score >= 9","0K-4.9K"
"30873","2D6E3567938214775C4FE64","60",2013-01-22,4000,128.48,2,"1 <= Score <= 2","0K-4.9K"
"30876","2D783582728492697EB90A8","36",2013-06-27,6000,192.87,9,"Score >= 9","5K-9.9K"
"30898","C9873582531734370159864","60",2013-08-02,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"30923","C13535788253740519B7542","36",2013-05-17,3000,96.44,10,"Score >= 9","0K-4.9K"
"30938","17E7358628395474689A6BA","60",2013-08-22,14000,425.15,2,"1 <= Score <= 2","10K-14.9K"
"31175","1A94358995856661706E340","36",2013-10-10,2500,84.83,10,"Score >= 9","0K-4.9K"
"31188","51B5357810701470376624A","60",2013-05-08,15000,455.52,2,"1 <= Score <= 2","10K-14.9K"
"31194","2E1D35921333962183AD94A","36",2013-10-21,12000,379.87,9,"Score >= 9","10K-14.9K"
"31220","D1A535961832969261FFAA7","36",2013-12-12,12000,400.81,9,"Score >= 9","10K-14.9K"
"31224","C9B63597554518181F1D8F3","36",2013-12-18,13000,415.21,10,"Score >= 9","10K-14.9K"
"31229","6F0B358362437549027CB13","60",2013-09-05,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"31256","B0013575174391239A40529","36",2013-04-01,3000,92.62,10,"Score >= 9","0K-4.9K"
"31270","34A13585332232032582E58","60",2013-08-08,5000,144.77,2,"1 <= Score <= 2","0K-4.9K"
"31343","C7263582634390950A0EDC4","36",2013-07-02,15000,463.09,10,"Score >= 9","10K-14.9K"
"31359","B0243596470733199394300","36",2013-12-20,3000,92.85,10,"Score >= 9","0K-4.9K"
"31431","AC6935827036721449222BA","60",2013-07-11,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"31445","C72F3596326419946C48FDD","36",2013-12-30,15000,467.9,10,"Score >= 9","10K-14.9K"
"31456","17EA359377777145062B2ED","36",2013-11-06,15000,471.36,9,"Score >= 9","10K-14.9K"
"31490","307C35907238910546B01EE","36",2013-10-16,12000,370.47,10,"Score >= 9","10K-14.9K"
"31504","80F535965665289299D5AC9","36",2013-12-05,12000,365.34,11,"Score >= 9","10K-14.9K"
"31564","C26435969938115540CCDA4","36",2013-12-10,8000,249.55,10,"Score >= 9","5K-9.9K"
"31648","D3DE35813853266655807FB","36",2013-06-07,10000,311.48,10,"Score >= 9","5K-9.9K"
"31718","72D5358381362384829E5A0","60",2013-07-29,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"31729","81703590136800306B2C888","36",2013-09-30,3500,109.13,11,"Score >= 9","0K-4.9K"
"31767","8E0535845851933268417B3","60",2013-07-30,15000,455.52,2,"1 <= Score <= 2","10K-14.9K"
"31786","7C173575059409348FA106C","36",2013-04-12,10000,368.54,9,"Score >= 9","5K-9.9K"
"31789","E95B3588725470767F2B45B","36",2013-09-18,5000,155.9,11,"Score >= 9","0K-4.9K"
"31845","3C2C3596313320370783643","36",2013-12-13,9000,274,11,"Score >= 9","5K-9.9K"
"31874","72CD35870489148411E12BA","60",2013-08-30,4000,124.76,2,"1 <= Score <= 2","0K-4.9K"
"31911","C37C3594583718351E5DE14","36",2013-11-13,5000,160.14,10,"Score >= 9","0K-4.9K"
"31961","163A35932924340001C4F7D","36",2013-11-19,15000,505.34,9,"Score >= 9","10K-14.9K"
"32079","D1F23592964911066C632E3","36",2013-10-22,3000,96.08,10,"Score >= 9","0K-4.9K"
"32108","95A9358197225266436F38E","36",2013-07-01,10000,308.73,10,"Score >= 9","5K-9.9K"
"32125","B9983573430097432009CB1","36",2013-04-10,15000,473.44,10,"Score >= 9","10K-14.9K"
"32145","1A9F3593546588245E4AFB4","36",2013-11-13,8000,265.68,11,"Score >= 9","5K-9.9K"
"32172","C1723580839961538902DF2","60",2013-06-27,4000,123,2,"1 <= Score <= 2","0K-4.9K"
"32213","BC8D3594392583604081C11","36",2013-11-05,7000,234.14,9,"Score >= 9","5K-9.9K"
"32298","673235960033432539D672E","36",2013-11-26,15000,474.83,9,"Score >= 9","10K-14.9K"
"32354","BA4A3584381811878904F0B","36",2013-07-23,3500,151.16,9,"Score >= 9","0K-4.9K"
"32371","82D335961400710574FFDDC","36",2013-12-17,7500,243.38,11,"Score >= 9","5K-9.9K"
"32417","6883359742682287424CE57","36",2013-12-18,6500,207.61,11,"Score >= 9","5K-9.9K"
"32461","2EB935913379945463324FC","36",2013-10-09,15000,483.3,11,"Score >= 9","10K-14.9K"
"32497","007C35763567698290C610C","36",2013-05-02,10000,308.73,10,"Score >= 9","5K-9.9K"
"32560","2EC8358538225935860000D","60",2013-07-25,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"32587","00B03579766583370A4E7CE","60",2013-06-10,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"32621","E51135780888901689F8C71","60",2013-05-06,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"32635","DA5735748704892233452C7","36",2013-04-04,6000,194.56,9,"Score >= 9","5K-9.9K"
"32665","C9FF35684194774626F5F95","36",2013-09-25,15000,456.67,11,"Score >= 9","10K-14.9K"
"32673","39903579006418554FFE22B","60",2013-05-28,3000,95.52,2,"1 <= Score <= 2","0K-4.9K"
"32690","73A535946522356901804C4","36",2013-11-27,15000,483.3,11,"Score >= 9","10K-14.9K"
"32704","54A835955564944265C57B3","36",2013-12-06,15000,456.67,11,"Score >= 9","10K-14.9K"
"32755","FE54357653772632268404F","36",2013-05-02,5000,154.36,10,"Score >= 9","0K-4.9K"
"32759","C8E235837359757217FC4C5","60",2013-07-25,15000,427.96,2,"1 <= Score <= 2","10K-14.9K"
"32804","84673580788028663A5FDD4","36",2013-06-27,10000,315.63,9,"Score >= 9","5K-9.9K"
"32943","F6FF358688182009998F9C4","36",2013-08-20,2000,64.85,9,"Score >= 9","0K-4.9K"
"32971","00643585898859413D28C4B","60",2013-09-03,4000,117.55,2,"1 <= Score <= 2","0K-4.9K"
"32978","5CEB3592795227505BBA440","36",2013-10-29,10000,308.73,9,"Score >= 9","5K-9.9K"
"33122","AD4735715789299899B16A8","36",2013-03-05,6500,210.78,9,"Score >= 9","5K-9.9K"
"33159","965E3582196757026056076","60",2013-07-17,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"33193","30F135688588798686153BB","60",2013-01-30,4000,128.48,2,"1 <= Score <= 2","0K-4.9K"
